id	type id		subgoal	description
338	2	organizational skills	\N	"organizing tasks, organizing files, handles details, coordinates tasks, punctual, manages projects effectively, meets deadlines, sets goals, keeps control over budget, plans and arranges activities, multi-tasks"
339	3	add windshield washer fluid	\N	\N
340	3	anticipate needs	\N	\N
341	3	arrange social functions	\N	\N
342	3	articulate	\N	\N
343	3	build a fire	\N	\N
344	3	buy a woman clothing	\N	\N
345	3	calm a crying baby	\N	\N
346	3	care for	\N	\N
347	3	caring	\N	\N
348	3	carve a turkey	\N	\N
349	3	change a tire	\N	\N
350	3	change oil	\N	\N
351	3	check coolant level	\N	\N
352	3	check tire pressure	\N	\N
353	3	comfort a crying woman	\N	\N
354	3	confront others	\N	\N
355	3	counsel people	\N	\N
356	3	decision making	\N	\N
357	3	delegate	\N	\N
358	3	deliver bad news	\N	\N
359	3	demonstrate something	\N	\N
360	3	detect a lie	\N	\N
361	3	diplomatic	\N	\N
362	3	do basic cooking	\N	\N
363	3	drive a manual transmission vehicle	\N	\N
364	3	empowering others	\N	\N
365	3	end a date politely without making promises	\N	\N
366	3	explain things to others	\N	\N
367	3	flirt without looking ridiculous	\N	\N
368	3	friendship	\N	\N
369	3	give a compliment	\N	\N
370	3	give driving directions	\N	\N
371	3	"handle a hammer, axe or handsaw"	\N	\N
372	3	handle a job interview	\N	\N
373	3	handle the police	\N	\N
374	3	help others	\N	\N
375	3	high energy	\N	\N
376	3	hold a baby	\N	\N
377	3	hook up a basic home theater system	\N	\N
378	3	implement basic computer security best practices	\N	\N
379	3	initiative	\N	\N
380	3	innovative	\N	\N
381	3	insightful	\N	\N
382	3	interview others	\N	\N
383	3	iron a shirt	\N	\N
384	3	jump start a car	\N	\N
385	3	keep a clean house	\N	\N
386	3	kind	\N	\N
387	3	learn spaninsh	\N	\N
388	3	listen	\N	\N
389	3	listen carefully to others	\N	\N
390	3	logical	\N	\N
391	3	make a good first impression	\N	\N
392	3	"make a short, informative public speech"	\N	\N
393	3	make a simple budget	\N	\N
394	3	make eggs more than three ways	\N	\N
395	3	manage money	\N	\N
396	3	manage time	\N	\N
397	3	motivate people	\N	\N
398	3	navigate with a map and compass	\N	\N
399	3	negotiate	\N	\N
400	3	negotiate agreements	\N	\N
401	3	networking	\N	\N
402	3	open minded	\N	\N
403	3	outgoing	\N	\N
404	3	paint	\N	\N
405	3	paint a room	\N	\N
406	3	parallel park	\N	\N
407	3	patient	\N	\N
408	3	perform basic first aid	\N	\N
409	3	perform cpr and the heimlich maneuver	\N	\N
410	3	"perform, act"	\N	\N
411	3	pick a ripe fruit	\N	\N
412	3	present artistic ideas	\N	\N
413	3	protect personal identity information	\N	\N
414	3	recite basic geography	\N	\N
415	3	recognize personal alcohol limits	\N	\N
416	3	relocate living spaces	\N	\N
417	3	remember information	\N	\N
418	3	remember names	\N	\N
419	3	remove a stain	\N	\N
420	3	select good produce	\N	\N
421	3	sensitive	\N	\N
422	3	serving	\N	\N
423	3	sew a button	\N	\N
424	3	sew a button onto clothing	\N	\N
425	3	share leadership	\N	\N
426	3	shine a shoe	\N	\N
427	3	smile for the camera	\N	\N
428	3	speak at least two common languages	\N	\N
429	3	speak in public	\N	\N
430	3	speaking in spanish	\N	\N
431	3	speed read	\N	\N
432	3	split firewood	\N	\N
433	3	supervise	\N	\N
434	3	supportive	\N	\N
435	3	swim	\N	\N
436	3	tactful	\N	\N
437	3	take a good picture	\N	\N
438	3	take orders	\N	\N
439	3	take useful notes	\N	\N
440	3	teach	\N	\N
441	3	tell a story that captivates people\'s attention	\N	\N
442	3	think of others	\N	\N
443	3	travel light	\N	\N
444	3	trust	\N	\N
445	3	type	\N	\N
446	3	typing in chinese	\N	\N
447	3	"using words, ideas"	\N	\N
448	3	wax a car	\N	\N
449	3	win or avoid a fistfight	\N	\N
450	3	working with others	\N	\N
451	3	writing spanish	\N	\N
452	3	life management and organization skills	Address An Envelope	\N
453	3	money management	Balance A Checkbook	\N
454	3	transportation savvy	Bike Maintenance	\N
455	3	home maintenance	Caulk	\N
456	3	gardening	Compost	\N
457	3	student specific skills	Contact Professors For Help	\N
458	3	kitchen and cooking	Cook Dried Beans	\N
459	3	sewing or mending	Crafting	\N
460	3	home and personal care skills	Determine which clothes to take to the dry cleaners	\N
461	3	professional skills	Draft A Cover Letter	\N
462	3	learning other languages	Learn Spaninsh	\N
463	3	adaptable	\N	"being flexible when things change. manage multiple assignments and tasks, set priorities, adapt to changing conditions, adapt to work assignments. adapting new procedures"
464	3	communicate verbally	\N	"Writes clearly and concisely, speaks effectively, listens attentively, openly expresses ideas, negotiates/resolves differences, leads group discussions, provides feedback, persuades others, provides well-thought out solutions, gathers appropriate information, confidently speaks in public"
465	5	get a busy bartender\'s attention	\N	\N
466	5	give a good massage	\N	\N
467	6	eat healthy	\N	\N
468	6	lose weight	\N	\N
469	7	1000 subscribers to my blogs	\N	\N
470	8	tracking acomplishments 	\N	\N
471	8	update your skills	\N	\N
472	10	speak english fluently	\N	\N
473	12	donate at an organisation	\N	\N
474	3	3d printing	\N	\N
475	3	a vintage scrapbook	\N	\N
476	3	ability to delegate	\N	\N
477	3	ability to learn 	\N	\N
478	3	ability to work under pressure 	\N	\N
479	3	aboriginal and torres strait islander health worker	\N	\N
480	3	accept responsibility	\N	\N
481	3	accommodation and hospitality managers nec	\N	\N
482	3	accountant (general)	\N	\N
483	3	accounting	\N	\N
484	3	accounts payable	\N	\N
485	3	accounts receivable	\N	\N
486	3	accuracy	\N	\N
487	3	"accurate: careful, precise, free from error."	\N	\N
488	3	actor	\N	\N
489	3	"actors, dancers and other entertainers"	\N	\N
490	3	actuary	\N	\N
491	3	acupuncturist	\N	\N
492	3	adapt to changing situations	\N	\N
493	3	adaptability 	\N	\N
494	3	adaptable: able to adapt oneself to new surroundings; to make suitable change so as to fit new conditions.	\N	\N
495	3	administering medication 	\N	\N
496	3	adobe illustrator	\N	\N
497	3	adobe indesign	\N	\N
498	3	adobe photoshop	\N	\N
499	3	advertising and public relations	\N	\N
500	3	advertising manager	\N	\N
501	3	advertising specialist	\N	\N
502	3	aeronautical engineer	\N	\N
503	3	aeroplane pilot	\N	\N
504	3	agricultural consultant	\N	\N
505	3	agricultural engineer	\N	\N
506	3	agricultural scientist	\N	\N
507	3	agricultural technician	\N	\N
508	3	air sports	\N	\N
509	3	air traffic controller	\N	\N
510	3	air transport professionals nec	\N	\N
511	3	airconditioning and mechanical services plumber	\N	\N
512	3	airconditioning and refrigeration mechanic	\N	\N
513	3	aircraft maintenance engineer (avionics)	\N	\N
514	3	aircraft maintenance engineer (mechanical)	\N	\N
515	3	aircraft maintenance engineer (structures)	\N	\N
516	3	aircraft spotting	\N	\N
517	3	airsoft	\N	\N
518	3	"alert: watchful, wide awake, ready to act."	\N	\N
519	3	amateur astronomy	\N	\N
520	3	amateur geology	\N	\N
521	3	amateur radio	\N	\N
522	3	"ambitious: full of ambition, strong desire to do something."	\N	\N
523	3	ambulance officer	\N	\N
524	3	american football	\N	\N
525	3	amiable: feeling and inspiring friendliness; lovable.	\N	\N
526	3	amusement centre manager	\N	\N
527	3	"an example of an amateur radiostation with four transceivers, amplifiers, and a computer for logging and for digital modes. on the wall are examples of various awards, certificates, and a reception report card (qsl card) from a foreign amateur station."	\N	\N
528	3	anaesthetist	\N	\N
529	3	analyst programmer	\N	\N
530	3	analytical skills	\N	\N
531	3	analytical: employing analytic methods; separating things into their parts of elements.	\N	\N
532	3	analytics	\N	\N
533	3	analyze	\N	\N
534	3	"analyze data, audit and maintain records"	\N	\N
535	3	analyzing data	\N	\N
536	3	anatomist or physiologist	\N	\N
537	3	android	\N	\N
538	3	animal attendants and trainers nec	\N	\N
539	3	animal showing	\N	\N
540	3	answering telephone	\N	\N
541	3	antique dealer	\N	\N
542	3	antiquing	\N	\N
543	3	antiquities	\N	\N
544	3	apiarist	\N	\N
545	3	apis	\N	\N
546	3	apparel cutter	\N	\N
547	3	appointment scheduling	\N	\N
548	3	arborist	\N	\N
549	3	archaeologist	\N	\N
550	3	archery	\N	\N
551	3	architect	\N	\N
552	3	architectural draftsperson	\N	\N
553	3	"architectural, building and surveying technicians nec"	\N	\N
554	3	archivist	\N	\N
555	3	arrange meetings or social functions	\N	\N
556	3	art administrator or manager	\N	\N
557	3	art collecting	\N	\N
558	3	art design	\N	\N
559	3	"art director (film, television or stage)"	\N	\N
560	3	art skills related to your teaching	\N	\N
561	3	art teacher (private tuition)	\N	\N
562	3	"articulate: able to express oneself clearly, do not mumble."	\N	\N
563	3	artistic director	\N	\N
564	3	ask for help appropriately	\N	\N
565	3	assemble kits	\N	\N
566	3	assembling equipment	\N	\N
567	3	assembling things	\N	\N
568	3	assembly line work	\N	\N
569	3	assertive: insist on one's rights or opinions.	\N	\N
570	3	assess and evaluate my own work	\N	\N
571	3	assess and evaluate others' work	\N	\N
572	3	association football (soccer)	\N	\N
573	3	astrology	\N	\N
574	3	astronomy	\N	\N
575	3	attend to visual detail	\N	\N
576	3	attending classes and lectures	\N	\N
577	3	attention to detail	\N	\N
578	3	attention to details 	\N	\N
579	3	"attentive: to notice, pay attention to, careful attention."	\N	\N
580	3	auctioneer	\N	\N
581	3	audiologist	\N	\N
582	3	audiophilia	\N	\N
583	3	auditing financial data 	\N	\N
584	3	australian football league	\N	\N
585	3	authors	\N	\N
586	3	auto audiophilia	\N	\N
587	3	auto body repair	\N	\N
588	3	auto racing	\N	\N
589	3	autocad	\N	\N
590	3	automotive electrician	\N	\N
591	3	avoid wasting time	\N	\N
592	3	b	\N	\N
593	3	back to top	\N	\N
594	3	backing large trucks into small openings	\N	\N
595	3	backpacking	\N	\N
596	3	backup management	\N	\N
597	3	badminton	\N	\N
598	3	baker	\N	\N
599	3	baking	\N	\N
600	3	barrister	\N	\N
601	3	bartender	\N	\N
602	3	base jumping	\N	\N
603	3	baseball	\N	\N
604	3	"basic academic skills in reading, writing, and "	\N	\N
605	3	basketball	\N	\N
606	3	baton twirling	\N	\N
607	3	be a good listener	\N	\N
608	3	be artistic	\N	\N
609	3	be competitive when necessary	\N	\N
610	3	be inventive	\N	\N
611	3	be kind and understanding	\N	\N
612	3	be logical	\N	\N
613	3	be outgoing	\N	\N
614	3	be pleasant and sociable	\N	\N
615	3	be tactful and diplomatic	\N	\N
616	3	be tough when necessary	\N	\N
617	3	beading 	\N	\N
618	3	beautician	\N	\N
619	3	bed and breakfast operator	\N	\N
620	3	beef cattle farmer	\N	\N
621	3	beekeeping	\N	\N
622	3	betting agency manager	\N	\N
623	3	billiards	\N	\N
624	3	billing	\N	\N
625	3	binder and finisher	\N	\N
626	3	biochemist	\N	\N
627	3	biomedical engineer	\N	\N
628	3	biotechnologist	\N	\N
629	3	bird watching	\N	\N
630	3	birdwatching	\N	\N
631	3	blacksmith	\N	\N
632	3	board sports	\N	\N
633	3	boarding kennel or cattery operator	\N	\N
634	3	boat builder and repairer	\N	\N
635	3	bobbin lace 	\N	\N
636	3	book collecting	\N	\N
637	3	book or script editor	\N	\N
638	3	bookbinding 	\N	\N
639	3	bookkeeping	\N	\N
640	3	bookkeeping skills	\N	\N
641	3	botanist	\N	\N
642	3	bowling	\N	\N
643	3	box making	\N	\N
644	3	boxing	\N	\N
645	3	brainstorming	\N	\N
646	3	brick laying	\N	\N
647	3	bricklayer	\N	\N
648	3	bridge	\N	\N
649	3	broadcast transmitter operator	\N	\N
650	3	broad-minded: being tolerant or liberal in thought or opinion.	\N	\N
651	3	budgeting	\N	\N
652	3	buffing	\N	\N
653	3	build or construct	\N	\N
654	3	build or repair things	\N	\N
655	3	building	\N	\N
656	3	building additions	\N	\N
657	3	building and engineering technicians nec	\N	\N
658	3	building associate	\N	\N
659	3	building inspector	\N	\N
660	3	building new business 	\N	\N
661	3	bus spotting	\N	\N
662	3	busboy	\N	\N
663	3	business broker	\N	\N
664	3	business communication skills	\N	\N
665	3	business machine mechanic	\N	\N
666	3	business management skills	\N	\N
667	3	"businesslike: practical, systematic."	\N	\N
668	3	butcher or smallgoods maker	\N	\N
669	3	c	\N	\N
670	3	c++	\N	\N
671	3	cabinet building	\N	\N
672	3	cabinetmaker	\N	\N
673	3	cabler (data and telecommunications)	\N	\N
674	3	caf  or restaurant manager	\N	\N
675	3	calculate or compute	\N	\N
676	3	calculating data	\N	\N
677	3	call or contact centre manager	\N	\N
678	3	calligraphy 	\N	\N
679	3	calling clients	\N	\N
680	3	"calm: stillness, serenity, peaceful, undisturbed."	\N	\N
681	3	"camera operator (film, television or video)"	\N	\N
682	3	canning or preserving	\N	\N
683	3	canvas goods maker	\N	\N
684	3	capable problem solver	\N	\N
685	3	capable: having the skills/ability or fitness for.	\N	\N
686	3	car driving	\N	\N
687	3	car tune-up	\N	\N
688	3	caravan park and camping ground manager	\N	\N
689	3	card collecting	\N	\N
690	3	cardiologist	\N	\N
691	3	cardiopulmonary resuscitation	\N	\N
692	3	cardiothoracic surgeon	\N	\N
693	3	careers counsellor	\N	\N
694	3	"careful: watchful, cautious, concerned for."	\N	\N
695	3	carpenter	\N	\N
696	3	carpenter and joiner	\N	\N
697	3	carpentry skills	\N	\N
698	3	carpentry work	\N	\N
699	3	cartographer	\N	\N
700	3	cashier	\N	\N
701	3	categorizing records	\N	\N
702	3	certifications	\N	\N
703	3	changing a light bulb	\N	\N
704	3	changing a tire on a car	\N	\N
705	3	changing tires	\N	\N
706	3	changing truck tires	\N	\N
707	3	check information for accuracy	\N	\N
708	3	checking the oil in a car	\N	\N
709	3	cheerleading	\N	\N
710	3	chef	\N	\N
711	3	chemical engineer	\N	\N
712	3	chemical plant operator	\N	\N
713	3	chemist	\N	\N
714	3	chemistry technician	\N	\N
715	3	chess	\N	\N
716	3	chief executive or managing director	\N	\N
717	3	chief information officer	\N	\N
718	3	child care	\N	\N
719	3	child care centre manager	\N	\N
720	3	chiropractor	\N	\N
721	3	cinema or theatre manager	\N	\N
722	3	city driving	\N	\N
723	3	civil engineer	\N	\N
724	3	civil engineering draftsperson	\N	\N
725	3	civil engineering technician	\N	\N
726	3	cleaning	\N	\N
727	3	cleaning bathrooms	\N	\N
728	3	cleaning rugs or carpets	\N	\N
729	3	cleaning your residence	\N	\N
730	3	clearing a drain	\N	\N
731	3	clearing the table	\N	\N
732	3	clearly express myself	\N	\N
733	3	clerk	\N	\N
734	3	clerk duties	\N	\N
735	3	client server	\N	\N
736	3	client support	\N	\N
737	3	climbing	\N	\N
738	3	clinical coder	\N	\N
739	3	clinical haematologist	\N	\N
740	3	clinical psychologist	\N	\N
741	3	clothing patternmaker	\N	\N
742	3	clothing trades worker	\N	\N
743	3	coach	\N	\N
744	3	coaching	\N	\N
745	3	coaching skills	\N	\N
746	3	coin collecting	\N	\N
747	3	collecting items	\N	\N
748	3	college football	\N	\N
749	3	color guard	\N	\N
750	3	commissioned defence force officer	\N	\N
751	3	commissioned fire officer	\N	\N
752	3	commissioned police officer	\N	\N
753	3	commodities trader	\N	\N
754	3	common sense	\N	\N
755	3	communicate	\N	\N
756	3	communicate well	\N	\N
757	3	communicating with young or old people	\N	\N
758	3	communications operator	\N	\N
759	3	community arts worker	\N	\N
760	3	community worker	\N	\N
761	3	company secretary	\N	\N
762	3	"competent: adequately qualified, ability."	\N	\N
763	3	complementary health therapist nec	\N	\N
764	3	composer	\N	\N
765	3	comprehending books or ideas	\N	\N
766	3	comprehension	\N	\N
767	3	computation 	\N	\N
768	3	computer network and systems engineer	\N	\N
769	3	computer programming	\N	\N
770	3	computer skills	\N	\N
771	3	concrete work	\N	\N
772	3	conduct research in a library or on the internet	\N	\N
773	3	conference and event organiser	\N	\N
774	3	"confident: trusting, fully assured, belief, trust in yourself."	\N	\N
775	3	configuration	\N	\N
776	3	conflict management	\N	\N
777	3	conflict resolution 	\N	\N
778	3	conscientious: good moral understanding of right and wrong.	\N	\N
779	3	conservation officer	\N	\N
780	3	conservator	\N	\N
781	3	"consistent: constant to same principles, not changing."	\N	\N
782	3	construction	\N	\N
783	3	construction estimator	\N	\N
784	3	construction project manager	\N	\N
785	3	construction skills	\N	\N
786	3	consulting organizations	\N	\N
787	3	content management systems	\N	\N
788	3	contract administrator	\N	\N
789	3	"contract, project or program administrator"	\N	\N
790	3	conveyancer	\N	\N
791	3	cook	\N	\N
792	3	cook s assistant	\N	\N
793	3	cooking	\N	\N
794	3	cooking food	\N	\N
795	3	cooperation	\N	\N
796	3	cooperative: work well with others.	\N	\N
797	3	coordinate fundraising activities	\N	\N
798	3	copywriter	\N	\N
799	3	corel draw	\N	\N
800	3	corel word perfect	\N	\N
801	3	corporate general manager	\N	\N
802	3	corporate treasurer	\N	\N
803	3	correctly filling orders	\N	\N
804	3	cosmetics consulting	\N	\N
805	3	cosplaying	\N	\N
806	3	cotton grower	\N	\N
807	3	counseling others	\N	\N
808	3	counseling people 	\N	\N
809	3	counseling skills	\N	\N
810	3	counsellors nec	\N	\N
